BH;20200328                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUSTOMER NUMBER;CUSTOMER NAME;APPROVED LIMIT;CIF BIRTHDATE;MOBILE NUMBER;LICENSE NUMBER;DAY OF CLOSING;CONTRACT NUMBER;CARD TYPE;EXPIRY DATE;CARD NO;EMAIL ADDRESS;RE-ISSUE FLAG;DATE OF OPENING CIF;CARD BLOCK CODE;ACTIVATION DATE;ACCOUNT BLOCK CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0000000000000414;CUSTOMRER AAAA                ;00000000012000000;01011990;0781234567        ;111111111111;00000000;0020030000000037;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;12012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000414;CUSTOMRER AAAA                ;00000000012000000;01011990;0781234567        ;111111111111;00000000;0028000000000032;800;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;12012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000414;CUSTOMRER AAAA                ;00000000012000000;01011990;0781234567        ;111111111111;00000000;0028010000000056;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;12012015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000000414;CUSTOMRER AAAA                ;00000000012000000;01011990;0781234567        ;111111111111;00000000;0028020000000048;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;12012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000414;CUSTOMRER AAAA                ;00000000012000000;01011990;0781234567        ;111111111111;00000000;0028030000000047;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;12012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000497;CUSTOMER D                    ;00000000020000000;22021980;0831114445        ;220000000000;00000000;0020010000000088;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000513;OVERDUE CUSTOMER1             ;00000000020000000;27111972;333333333333333333;            ;00000000;0020010000000096;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000539;OVERDUE CUSTOMER2             ;00000000020000000;27101972;333333333333333333;            ;00000000;0020020000000053;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000547;OVERDUE CUSTOMER3             ;00000000020000000;27101972;333333333333333333;            ;00000000;0020030000000045;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000554;OVERDUE CUSTOMER4             ;00000000020000000;27101972;333333333333333333;            ;00000000;0028000000000040;800;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000562;OVERDUE CUSTOMER5             ;00000000020000000;27101972;333333333333333333;            ;00000000;0028010000000064;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000570;CUSTOMER E                    ;00000000020000000;23091975;0842222226        ;230000000002;00000000;0020010000000104;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;29032015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000588;OVERDUE CUSTOMER6             ;00000000020000000;27101972;333333333333333333;            ;00000000;0028020000000055;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000596;OVERDUE CUSTOMER6             ;00000000020000000;27101972;333333333333333333;            ;00000000;0028030000000054;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000638;CUSTMOMER B                   ;00000000020000000;04041995;090000000000000008;            ;00000000;0020010000000112;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;Q                                                                                                                                                                                                                                                                                        
0000000000000638;CUSTMOMER B                   ;00000000020000000;04041995;090000000000000008;            ;00000000;0020020000000061;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000638;CUSTMOMER B                   ;00000000020000000;04041995;090000000000000008;            ;00000000;0020030000000052;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000638;CUSTMOMER B                   ;00000000020000000;04041995;090000000000000008;            ;00000000;0028000000000057;800;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000638;CUSTMOMER B                   ;00000000020000000;04041995;090000000000000008;            ;00000000;0028010000000072;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000638;CUSTMOMER B                   ;00000000020000000;04041995;090000000000000008;            ;00000000;0028020000000063;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000638;CUSTMOMER B                   ;00000000020000000;04041995;090000000000000008;            ;00000000;0028030000000062;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01042015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000000679;OVERDUE CUSTOMER8             ;00000000050000000;30091985;0944471616        ;            ;00000000;0020010000000120;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07032015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000000695;OVERDUE CUSTOMER9             ;00000000020000000;18011995;090000000000000038;            ;00000000;0020020000000079;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;11042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
